Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal
,Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative
,Dean,Allison,Niagara West,Ontario,Conservative
,William,Amos,Pontiac,Quebec,Liberal
Hon.,Anita,Anand,Oakville,Ontario,Liberal
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal
,Charlie,Angus,Timmins—James Bay,Ontario,NDP
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal
,Chandra,Arya,Nepean,Ontario,Liberal
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP
,Jenica,Atwin,Fredericton,New Brunswick,Green Party
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP
,Vance,Badawey,Niagara Centre,Ontario,Liberal
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal
Hon.,Navdeep,Bains,Mississauga—Malton,Ontario,Liberal
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative
,John,Barlow,Foothills,Alberta,Conservative
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal
,Rachel,Bendayan,Outremont,Quebec,Liberal
Hon.,Carolyn,Bennett,Toronto—St. Paul's,Ontario,Liberal
,Bob,Benzen,Calgary Heritage,Alberta,Conservative
Hon.,Candice,Bergen,Portage—Lisgar,Manitoba,Conservative
,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative
,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois
,Lyne,Bessette,Brome—Missisquoi,Quebec,Liberal
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal
,Chris,Bittle,St. Catharines,Ontario,Liberal
,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal
,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois
,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP
Hon.,Steven,Blaney,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative
,Kody,Blois,Kings—Hants,Nova Scotia,Liberal
,Michel,Boudrias,Terrebonne,Quebec,Bloc Québécois
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative
,John,Brassard,Barrie—Innisfil,Ontario,Conservative
,Bob,Bratina,Hamilton East—Stoney Creek,Ontario,Liberal
,Élisabeth,Brière,Sherbrooke,Quebec,Liberal
,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois
,Blaine,Calkins,Red Deer—Lacombe,Alberta,Conservative
,Richard,Cannings,South Okanagan—West Kootenay,British Columbia,NDP
Hon.,Jim,Carr,Winnipeg South Centre,Manitoba,Liberal
,Colin,Carrie,Oshawa,Ontario,Conservative
,Sean,Casey,Charlottetown,Prince Edward Island,Liberal
,Louise,Chabot,Thérèse-De Blainville,Quebec,Bloc Québécois
Hon.,Bardish,Chagger,Waterloo,Ontario,Liberal
Hon.,François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal
,Martin,Champoux,Drummond,Quebec,Bloc Québécois
,Louise,Charbonneau,Trois-Rivières,Quebec,Bloc Québécois
,Shaun,Chen,Scarborough North,Ontario,Liberal
,Kenny,Chiu,Steveston—Richmond East,British Columbia,Conservative
Hon.,Michael,Chong,Wellington—Halton Hills,Ontario,Conservative
,Laurel,Collins,Victoria,British Columbia,NDP
,Michael,Cooper,St. Albert—Edmonton,Alberta,Conservative
,Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal
,James,Cumming,Edmonton Centre,Alberta,Conservative
,Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal
,Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative
,Pam,Damoff,Oakville North—Burlington,Ontario,Liberal
,Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative
,Scot,Davidson,York—Simcoe,Ontario,Conservative
,Don,Davies,Vancouver Kingsway,British Columbia,NDP
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal
,Kerry,Diotte,Edmonton Griesbach,Alberta,Conservative
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative
,Han,Dong,Don Valley North,Ontario,Liberal
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal
Hon.,Jean-Yves,Duclos,Québec,Quebec,Liberal
,Terry,Duguid,Winnipeg South,Manitoba,Liberal
,Eric,Duncan,Stormont—Dundas—South Glengarry,Ontario,Conservative
Hon.,Kirsty,Duncan,Etobicoke North,Ontario,Liberal
,Scott,Duvall,Hamilton Mountain,Ontario,NDP
,Julie,Dzerowicz,Davenport,Ontario,Liberal
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal
,Ali,Ehsassi,Willowdale,Ontario,Liberal
,Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal
