original_title,Type,Source,actors
Member of the Canada-Israel Interparliamentary Group ,Red,https://www.parl.ca/diplomacy/en/groups/cail,"Anthony Housefather,Randall Garrison,Marco Mendicino,Marty Morantz,Linda Frum,Marc Gold,Todd Doherty,Peter Kent,Ya'ara Saks,Deborah Schulte,Peter M. Boehm,Jane Cordy,Pierre Dalphond,Marc Gold,Mobina S.B. Jaffer,Tony Loffreda,Paul J. Massicotte,Mohamed-Iqbal Ravalia,David Mark Wells,Michael Barrett,Carolyn Bennett,Stéphane Bergeron,Luc Berthold,James Bezan,Steven Blaney,Kelly Block,Marc Dalton,Julie Dzerowicz,Ted Falk,Greg Fergus,Cheryl Gallant,Randall Garrison,Marie-Hélène Gaudreau,Marilène Gill,Tracy Gray,Rachael Harder,Anthony Housefather,Matt Jeneroux,Yvonne Jones,Peter Kent,Robert Kitchen,Tom Kmiec,Annie Koutrakis,Damien Kurek,Marie-France Lalonde,Dominic LeBlanc,Sébastien Lemire,Larry Maguire,James Maloney,Lindsay Mathyssen,Heather McPherson,Alexandra Mendès,Marty Morantz,Christine Normandin,Robert Oliphant,Pierre Paul-Hus,Yves Perron,Lianne Rood,Ya'ara Saks,Jamie Schmale,Deb Schulte,Mario Simard,Francesco Sorbara,Sven Spengemann,Luc Thériault,Kevin Waugh"
Opposed Israel's unlawful annexations,Green,https://mppledge-cjpme.nationbuilder.com/pledge_endorsements,"Charlie Angus,Niki Ashton,Mario Beaulieu,Stéphane Bergeron,Daniel Blaikie,Rachel Blaney,Alexandre Boulerice,Laurel Collins,Don Davies,Scott Duvall,Jenica Atwin,Richard Cannings,Wayne Long,Adam Van Koeverden,Nathaniel Erskine-Smith,Leah Gazan,Matthew Green,Jack Harris,Carol Hughes,Alexis Brunelle-Duceppe,Gord Johns,Peter Julian,Jenny Kwan,Alistair MacGregor,Salma Zahid,Yasmin Ratansi,Mark Holland,Paul Manly,Brian Masse,Lindsay Mathyssen,Elizabeth May,Heather McPherson,Louis Plamondon,Mumilaaq Qaqqaq,Marwan Tabbara,Arif Virani,Taylor Bachrach,Ken Hardie,Jennifer O'Connell,Iqra Khalid, Xavier Barsalou-Duval,Sylvie Bérubé,Yves-François Blanchet,Maxime Blanchette-Joncas,Michel Boudrias,Louise Chabot,Martin Champoux,Louise Charbonneau,Claude DeBellefeuille,Caroline Desbiens,Luc Desilets,Rhéal Fortin,Marie-Hélène Gaudreau,Marilène Gill,Andréanne Larouche,Sébastien Lemire,Simon Marcil,Kristina Michaud,Christine Normandin,Monique Pauzé,Yves Perron,Simon-Pierre Savard-Tremblay,Mario Simard,Gabriel Ste-Marie,Luc Thériault,Alain Therrien,Denis Trudel,Julie Vignola, Amita Kuttner,Judy Green,Courtney Howard,Dimitri Lascaris,David Merner,Meryam Haddad,Glen Murray"
Urged Canada to stop Israel's evictions in East Jerusalem,Green,https://twitter.com/CanadianMps_Pal/status/1387882912096337920,"Nate Erskine-Smith,Nathaniel Erskine-Smith"
Called out Israel's planned evictions as a crime against humanity and ethnic cleansing,Green,https://twitter.com/CJPME/status/1390496534190514177,Matthew Green
Called on Canada to take action to stop the evictions,Green,https://twitter.com/nikiashton/status/1390410664791797760,Niki Ashton
calls out ethnic cleansing in Sheikh Jarrah and Canada's silence,Green,https://twitter.com/LeahGazan/status/1390788722191261699,Leah Gazan
Urges Canada to condemn Israel's actions at Al-Aqsa,Green,https://twitter.com/SalmaZahid15/status/1391057514490433537,Salma Zahid
Shared Canada's statement and reiterates concern over slated evictions,Green,https://twitter.com/CJPME/status/1391125788867678209,"Ya'ara Saks,Omar Alghabra,Maryam Monsef"
Calls for Israel to stop illegal evictions,Green,https://twitter.com/HMcPhersonMP/status/1391132268345716736,Heather McPherson
Calls for de-escalation and end to evictions,Green,https://twitter.com/iamIqraKhalid/status/1391136177516945413,Iqra Khalid
Calls evictions deeply troubling and calls for the end of illegal occupations,Green,https://twitter.com/theJagmeetSingh/status/1391145701841719308,Jagmeet Singh
Participated in a delegation to Palestine to understand the human impact of Israeli military occupation,Green,https://www.nwttac.canada.dci-palestine.org/canada_thank_mps_for_visiting_palestine,"Alexandre Boulerice,Ruth Ellen Brosseau,Guy Caron,Don Davies,Gord Johns,Peter Julian,Irene Mathyssen,Wayne Stetski,Marwan Tabbara,Chandra Arya,Bill Casey,Shaun Chen,Ken McDonald,Robert-Falcon Ouellette,Geng Tan,Elizabeth May,Garnett Genuis,Mario Beaulieu"
Signed a statement imploring Canada to stop ignoring multiple violations of Palestinian human rights by the Israeli government,Green,https://twitter.com/nccm/status/1395521283228639233,"Salma Zahid,Mario Beaulieu,Chandra Arya,Pam Damoff,Leah Gazan,Kamal Khera,Elizabeth May,Yasmin Ratansi,Sonia Sidhu,Patrick Weiler,Alexandre Boulerice,Salma Ataullahjan,Sukh Daliwhal,Majid Jowhari,Adam von Koeverden,Soraya Martinez Ferrada,Mohamed-Iqbal Ravalia,Marwan Tabbara,Paul Manly,Shaun Chen,Don Davies,Iqra Khalid,Joël Lightbound,Lindsay Mathyssen,Ruby Sahota,Lenore Zann,Karen McCrimmon"
Member of the Canda-Palestinian Parliamentary Friendship Group,Green,https://twitter.com/nccm/status/1395521283228639233,"Salma Zahid,Mario Beaulieu,Chandra Arya,Pam Damoff,Leah Gazan,Kamal Khera,Elizabeth May,Yasmin Ratansi,Sonia Sidhu,Patrick Weiler,Alexandre Boulerice,Salma Ataullahjan,Sukh Daliwhal,Majid Jowhari,Adam von Koeverden,Soraya Martinez Ferrada,Mohamed-Iqbal Ravalia,Marwan Tabbara,Paul Manly,Shaun Chen,Don Davies,Iqra Khalid,Joël Lightbound,Lindsay Mathyssen,Ruby Sahota,Lenore Zann"
Called for de-escalation of tension; noting Israel's illegal settlements in violation of international law,Green, https://twitter.com/SameerZuberi/status/1391143100102414340,Sameer Zuberi
Called for immediate de-escalation; concern for violence; stating Canada is friend to both Israel and Palestine,White,https://twitter.com/Rob_Oliphant/status/1391150063024545792,Rob OliphantCalled for Justin Trudeau to defend evicted Palestinians families, that their expulsion must be stopped, Green, https://twitter.com/alexboulerice/status/1391156710509789193, Alexandre BoulericeCalled for Canada to condemn Israel for violating international law, demanded Israel halt "inhumane" and "illegal" evictions, Green, https://twitter.com/DonDavies/status/1391171320893763585, Don DaviesCalled for Canada to condemn violence against Palestinians and illegal evictions, Green, https://twitter.com/BrianMasseMP/status/1391162204154650626, Briane Masse Supported Marc Garneau's statement calling for immediate de-escalation, and that the evictions "would" violate international law, White, https://twitter.com/beynate/status/1391163160317546496, Nate Erskine-SmithCalled acts of violence "disturbing", stated that settlement expansions and evictions "hinder [...] peace", White, https://twitter.com/markhollandlib/status/1391172731727659020, Mark HollandCalled for immediate de-escalation, stated forced evictions impede peaceful resolution,White,https://twitter.com/CJPME/status/1391237425079390211,Sven Spengemann
Shared Canada's statement advising concern for violation of human rights,White,https://twitter.com/cathmckenna/status/1391209258956595206,Catherine McKenna
Condemned violence and evictions as unacceptable; called for immediate de-escalation; shared picture of trip to Gaza in 2016 with activist group Right to Play,Green,https://twitter.com/vankayak/status/1391189819833917447/photo/1,Adam van Koeverden
Expressed concern for crimes against humanity;stated solidarity with the Coalition of Canadian-Palestine Organizations,Green,https://twitter.com/CanadianMps_Pal/status/1391343809108271112,Yasmin Ratansi
